age_numeric,category,ci_lower,ci_upper,mean
6,mushroom,-1.419533707326572,-0.5189438181431444,-0.9585979392794195
6,octopus,-2.4211389899668245,-1.8198671197947471,-2.110697622232169
6,person,-2.535257513269975,-1.7202071681538265,-2.1030399295214157
6,phone,-2.1269488158386722,-1.358025837442622,-1.7535632186736758
6,piano,-1.1027496812272835,-0.3244957508772258,-0.7196554707961262
6,rabbit,-3.174424339894881,-2.542618188776775,-2.8443775186517657
6,scissors,-2.29617831057789,-1.6581088907094064,-1.988314396430691
6,sheep,-3.053300677894605,-2.566951386805773,-2.79693596042615
6,snail,-2.178909898052687,-1.2488401150335833,-1.7437181264919521
6,spider,-2.491198411858593,-1.7535486086264762,-2.1204988585577698
6,tiger,-3.0271630359954758,-2.565325002492289,-2.797048304042188
6,train,-2.3320650642647633,-1.4986900845634172,-1.9069664035320468
6,tree,-1.5261019947262575,-0.8816573435072982,-1.2055903177722767
6,TV,-1.9307240326078068,-0.9777720313217805,-1.461262567451998
6,watch,-3.022474187769691,-2.1126937872901537,-2.5449754602537573
6,whale,-2.2913812438626016,-1.8341483390710622,-2.0700649101218382
7,airplane,-2.24248335967805,-1.4029543388157195,-1.8406143420572627
7,apple,-1.2638482486128606,-0.24490197179920514,-0.7555541577198446
7,bear,-3.7466955536297273,-2.8857854088581,-3.326753040549148
7,bed,-2.360138269111441,-1.4731756817460895,-1.9099504483902077
7,bee,-2.5240311397055235,-1.8074643418367915,-2.1575600720431503
7,bike,-0.9631442284889199,0.11185531872265661,-0.41916647727850936
7,bird,-3.902561575510821,-3.387013650906364,-3.632480035458639
7,boat,-1.9270783502079554,-0.5564865951749811,-1.2548189747018867
7,book,-1.3756871746356152,-0.598763575318471,-0.9942376092989261
7,bottle,-1.4717010966992066,-0.791021726474197,-1.1391682051769956
7,bowl,-1.3696381277898844,-0.20015911688500793,-0.7721105885892892
7,cactus,-2.24246991769339,-1.5807417652119313,-1.905558338502101
7,camel,-2.5082790698523283,-1.9774477288642984,-2.240054341828036
7,car,-2.288525139095599,-1.2535196702808065,-1.7819640731450326
7,cat,-3.7073908139608607,-3.0476374617076805,-3.375349087317879
7,chair,-1.1058540401068595,0.11012777319138385,-0.48493583451713124
7,clock,-0.249161592765761,1.1049140078564825,0.4297377657677802
7,couch,-2.5252645798415596,-1.6615109771624532,-2.076020281787936
7,cow,-3.182450667962246,-2.7946404702428715,-2.9766721173242594
7,cup,-2.6654312269991474,-1.8324463404375297,-2.248044675914829
7,dog,-3.9628886146205087,-3.3725925036092503,-3.642914240771259
7,elephant,-2.816997355061067,-2.459597255675454,-2.63360042518894
7,face,-1.4307077341403003,-0.674115549810241,-1.0504385165184518
7,fish,-3.1922197062882933,-2.459981489648083,-2.8229037838853213
7,frog,-3.534982707143335,-2.878133200437121,-3.189915508470602
7,hand,-1.0151041976412933,0.0681410996032982,-0.47966052122128827
7,hat,-1.8463710327048024,-1.0002858342361585,-1.4237558847181961
7,horse,-3.1088332823766027,-2.6298077509035664,-2.8804853466304596
7,house,-0.6898234305371452,0.8707764251803405,0.0996347205427396
7,ice cream,-0.4101585666573722,0.611688089305108,0.10221112271864422
7,key,-2.278285863168188,-1.3984769102318717,-1.8440031724286108
7,lamp,-2.0800428423004527,-0.8546414462203723,-1.4473309721441385
7,mushroom,-1.4949519458842102,-0.5262874532688199,-0.9912996009047648
7,octopus,-1.5422572479579304,-0.7350697519641002,-1.1432915081011619
7,person,-2.442511003221652,-1.332273718984605,-1.8737024702043983
7,phone,-1.6841007447426881,-0.6588289959603609,-1.16043109371892
7,piano,-1.4026702780041191,-0.39919589665225064,-0.9135834546032533
7,rabbit,-2.976139116655,-2.0036393646750095,-2.472936684008912
7,scissors,-2.101887325582663,-1.1976936076663731,-1.6374707034779852
7,sheep,-2.8406677113637735,-2.2302762988455322,-2.5315590847928853
7,snail,-1.7255641475448604,-0.7704263378187447,-1.2294048529355057
7,spider,-2.1731812909343304,-1.3925093862719884,-1.7864175417222008
7,tiger,-3.0628685317778137,-2.5405699606443637,-2.7964302533183405
7,train,-2.5121150548662534,-1.371829898241279,-1.8939542831469596
7,tree,-2.1070676664120254,-1.3940068869845554,-1.72975080212238
7,TV,-1.8138323544774115,-0.9605214432049268,-1.3729652453529226
7,watch,-2.8783534836658657,-1.9056535556056085,-2.4184292875730398
7,whale,-2.680631776336196,-1.9597163545248837,-2.318793432771482
8,airplane,-3.0649624449356754,-2.1829119620394906,-2.5984635316633584
8,apple,-1.2017108909390204,0.2828672552956378,-0.4272199167158553
8,bear,-2.998077924376958,-1.9198903197474777,-2.5043018699386623
8,bed,-1.9984022367056622,-1.1557231326026534,-1.571966908928407
8,bee,-2.76508366266168,-1.8832290136716234,-2.3311884030755
8,bike,-0.7495977162577432,0.30981931175167104,-0.21674272072260814
8,bird,-4.00282897498279,-3.3239226817016916,-3.6147766107588866
8,boat,-1.5320011131705171,-0.30592256943841184,-0.9267656215784912
8,book,-1.7334270339122915,-0.33467232868025754,-1.0121306875906206
8,bottle,-1.4035530927916853,-0.383346108001265,-0.8679786866141407
8,bowl,-1.5073781012201286,-0.1328563694243836,-0.8112412608540321
8,cactus,-2.5053805629316077,-1.5629113616186132,-1.9945597155396488
8,camel,-2.19608986214701,-1.4270196896044995,-1.7884045967179236
8,car,-2.4622086675031145,-1.3639794389070368,-1.906051361910916
8,cat,-3.7798769338988536,-2.8500541904141783,-3.2827665004613613
8,chair,-1.5258427233959897,-0.1410243802021232,-0.831503092705134
8,clock,-0.9323857169310629,0.7870582540129871,-0.051153271718663226
8,couch,-2.3121491991255385,-1.3791292558243928,-1.8435514941569042
8,cow,-3.4368746536363157,-2.798489214249994,-3.1066142199668016
8,cup,-2.8062119570002606,-1.6784629506577857,-2.2237504658870852
8,dog,-3.8857698331787613,-3.422140042288435,-3.6396647610843584
8,elephant,-2.829299004166673,-2.4103417667096427,-2.605721726145461
8,face,-1.7462627443040528,-0.568396968267044,-1.1201643628349884
8,fish,-2.471486282855823,-1.701917862904732,-2.10068722619922
8,frog,-3.4883249248336856,-2.70955481159565,-3.0949000621023823
8,hand,-0.9953980820434959,0.8821462416443571,-0.05131380931216632
8,hat,-2.2040222709374837,-1.006650982041958,-1.6165731910474352
8,horse,-2.908423689713215,-2.2103131900607105,-2.5458259418607585
8,house,-0.725436306281888,0.6134247281927524,-0.06228355285324199
8,ice cream,-0.8389494478273776,0.7654956399708466,-0.06687373352603852
8,key,-2.2203534855428355,-1.2506134911618618,-1.7279445327218539
8,lamp,-1.5904014478884863,0.5996870959440462,-0.5013971809363172
8,mushroom,-1.3370819512623502,-0.009172336253172646,-0.699407120967625
8,octopus,-2.0742441585596554,-1.1016651710200054,-1.5918255222263091
8,person,-2.3768092989844902,-1.3566677164736876,-1.8703152955592048
8,phone,-2.0825176051409233,-0.47186831376561766,-1.2859949598573635
8,piano,-0.8166836827364667,1.2032836445154362,0.13550545001154538
8,rabbit,-2.9765204829561265,-1.8856815377809366,-2.414890917971876
8,scissors,-2.2856665129804465,-1.0535705961624502,-1.6763418265302938
8,sheep,-3.4099329355692984,-2.268463759214485,-2.8393969261579004
8,snail,-1.8316307132185854,-0.7250590789266631,-1.2598593172253074
8,spider,-2.510294263331523,-1.5837085780622893,-2.0204247708680136
8,tiger,-3.2896983184000033,-2.432506247448001,-2.832741966220404
8,train,-2.6508119853763423,-1.1436065096339563,-1.915361400199721
8,tree,-2.04606345372592,-1.3634546960685936,-1.6953163730352312
8,TV,-1.8087071269756958,-0.8336299502877933,-1.3234379830116498
8,watch,-2.9582018611585195,-1.8568027343425215,-2.4196731736768755
8,whale,-2.843962829918656,-1.7375344456611803,-2.3030393708923684
9,airplane,-2.663211204118833,-1.7742481955845286,-2.207751026129814
9,apple,-0.9715626912291376,0.45192361959082117,-0.2723604446859902
9,bear,-3.886343798531257,-2.3217493134605163,-3.101253505465344
9,bed,-2.6277235343546708,-1.409737119071734,-1.9776183747969989
9,bee,-3.308166090896299,-2.0999048353526333,-2.6828495624320077
9,bike,-1.9620278073171646,-0.6330526842656121,-1.2599803777734744
9,bird,-3.387199104257239,-3.0442357931665813,-3.228443966177302
9,boat,-2.1184760193717587,-0.5654521823527772,-1.3563320088994044
9,book,-1.7000899636713125,-0.5709518954403039,-1.1336287763704473
9,bottle,-1.7462240576957233,0.002992845160595972,-0.881257351195173
9,bowl,-1.3525412550828129,0.4250908203942594,-0.4332693326732866
9,cactus,-2.6249669173596937,-1.8870782121506677,-2.2538640556237715
9,camel,-2.2751993171109883,-1.2825736353287398,-1.761840926305136
9,car,-1.7954830255898073,-0.9985862066572102,-1.366416783435113
9,cat,-3.711486784047024,-3.109602535971558,-3.3920157412887217
9,chair,-1.6893145389620188,-0.21909275088019506,-0.9312095239396652
9,clock,-0.9505241548175948,0.8360181014329547,-0.013360348335758238
