category,model_correct_bin,roi_labelName,count_images_bin,avg_emphasis,count_drawings_with_part,prop_drawings,label,levels
tiger,2,ear,37,0.14326055189072573,12,0.32432432432432434,ear,ear
tiger,2,eye,37,0.05486492803636834,27,0.7297297297297297,eye,eye
tiger,2,leg,37,0.18947179366720024,20,0.5405405405405406,leg,leg
tiger,2,mouth,37,0.0359631256915698,17,0.4594594594594595,mouth,mouth
tiger,2,tail,37,0.15509306691515407,13,0.35135135135135137,tail,tail
tiger,3,ear,37,0.12735603533195872,21,0.5675675675675675,ear,ear
tiger,3,eye,37,0.04735344663685935,22,0.5945945945945946,eye,eye
tiger,3,leg,37,0.18308384613063514,25,0.6756756756756757,leg,leg
tiger,3,mouth,37,0.045640578094200204,17,0.4594594594594595,mouth,mouth
tiger,3,tail,37,0.12427662816533565,18,0.4864864864864865,tail,tail
tiger,4,ear,37,0.1379265326844867,19,0.5135135135135135,ear,ear
tiger,4,eye,37,0.04226007705105122,27,0.7297297297297297,eye,eye
tiger,4,leg,37,0.17868343151055288,25,0.6756756756756757,leg,leg
tiger,4,mouth,37,0.0431090508589925,20,0.5405405405405406,mouth,mouth
tiger,4,tail,37,0.10686524004669323,15,0.40540540540540543,tail,tail
camel,1,eye,38,0.062670118761645,17,0.4473684210526316,eye,eye
camel,1,hump,38,0.1760510801083313,13,0.34210526315789475,hump,hump
camel,1,leg,38,0.27496825027785393,26,0.6842105263157895,leg,leg
camel,1,mouth,38,0.0521762000436535,14,0.3684210526315789,mouth,mouth
camel,1,tail,38,0.1013859144365106,8,0.21052631578947367,tail,tail
camel,2,eye,38,0.032043886710197686,18,0.47368421052631576,eye,eye
camel,2,hump,38,0.22356160920823756,14,0.3684210526315789,hump,hump
camel,2,leg,38,0.2085019834871753,27,0.7105263157894737,leg,leg
camel,2,mouth,38,0.042468073067999844,14,0.3684210526315789,mouth,mouth
camel,2,tail,38,0.1293257795328954,14,0.3684210526315789,tail,tail
camel,3,eye,37,0.039639372221964966,13,0.35135135135135137,eye,eye
camel,3,hump,37,0.20206099328692337,15,0.40540540540540543,hump,hump
camel,3,leg,37,0.2822647527920802,21,0.5675675675675675,leg,leg
camel,3,mouth,37,0.04032445152673841,8,0.21621621621621623,mouth,mouth
camel,3,tail,37,0.1074784346616198,11,0.2972972972972973,tail,tail
camel,4,eye,37,0.026365816551986047,18,0.4864864864864865,eye,eye
camel,4,hump,37,0.20596208333305757,24,0.6486486486486487,hump,hump
camel,4,leg,37,0.2848958789667242,31,0.8378378378378378,leg,leg
camel,4,mouth,37,0.031990331297342106,12,0.32432432432432434,mouth,mouth
camel,4,tail,37,0.11228424978659642,10,0.2702702702702703,tail,tail
bear,1,ear,37,0.16272825918366315,18,0.4864864864864865,ear,ear
bear,1,eye,37,0.05992748125927192,20,0.5405405405405406,eye,eye
bear,1,leg,37,0.26139356019430576,20,0.5405405405405406,leg,leg
bear,1,mouth,37,0.04348319194549263,17,0.4594594594594595,mouth,mouth
bear,1,nose,37,0.029562431372293873,7,0.1891891891891892,nose,nose
bear,2,ear,37,0.1763417115897845,19,0.5135135135135135,ear,ear
bear,2,eye,37,0.13037981965455187,28,0.7567567567567568,eye,eye
bear,2,leg,37,0.2597807656008007,17,0.4594594594594595,leg,leg
bear,2,mouth,37,0.06999450585475994,23,0.6216216216216216,mouth,mouth
bear,2,nose,37,0.06362524033944389,12,0.32432432432432434,nose,nose
bear,3,ear,37,0.18880746945378518,26,0.7027027027027027,ear,ear
bear,3,eye,37,0.08413219807132837,29,0.7837837837837838,eye,eye
bear,3,leg,37,0.20978098980058324,16,0.43243243243243246,leg,leg
bear,3,mouth,37,0.04860232710526269,18,0.4864864864864865,mouth,mouth
bear,3,nose,37,0.03121658065967179,11,0.2972972972972973,nose,nose
bear,4,ear,36,0.17687313333001164,30,0.8333333333333334,ear,ear
bear,4,eye,36,0.07991884499483881,31,0.8611111111111112,eye,eye
bear,4,leg,36,0.16333552369514737,23,0.6388888888888888,leg,leg
bear,4,mouth,36,0.05030597892514408,25,0.6944444444444444,mouth,mouth
bear,4,nose,36,0.04087542715418859,12,0.3333333333333333,nose,nose
cup,1,base,32,0.11903768341775921,3,0.09375,base,base
cup,1,handle,32,0.20420213379522795,16,0.5,handle,handle
cup,1,hole,32,0.03815340011006148,1,0.03125,hole,hole
cup,1,rim,32,0.19516414185837752,10,0.3125,rim,rim
cup,2,base,31,0.16392465515078944,4,0.12903225806451613,base,base
cup,2,handle,31,0.277616846152154,18,0.5806451612903226,handle,handle
cup,2,hole,31,0.1652822558847977,2,0.06451612903225806,hole,hole
cup,2,rim,31,0.21687555218531784,9,0.2903225806451613,rim,rim
cup,3,base,31,0.23905188634533747,6,0.1935483870967742,base,base
cup,3,handle,31,0.3169085845478999,19,0.6129032258064516,handle,handle
cup,3,hole,31,0.35663196590905416,2,0.06451612903225806,hole,hole
cup,3,rim,31,0.28760423405478613,17,0.5483870967741935,rim,rim
cup,4,base,31,0.12500342966761768,2,0.06451612903225806,base,base
cup,4,handle,31,0.2663448036591337,27,0.8709677419354839,handle,handle
cup,4,rim,31,0.21943604011707118,10,0.3225806451612903,rim,rim
lamp,1,base,32,0.2766004774073141,6,0.1875,base,base
lamp,1,cord,32,0.24009159358857446,3,0.09375,cord,cord
lamp,1,lampshade,32,0.4932113364705934,19,0.59375,lampshade,lampshade
lamp,1,lightbulb,32,0.25195720069649397,9,0.28125,lightbulb,lightbulb
lamp,1,stand,32,0.2550208794074718,7,0.21875,stand,stand
lamp,2,base,31,0.22672205011850335,9,0.2903225806451613,base,base
lamp,2,cord,31,0.08087277621548469,4,0.12903225806451613,cord,cord
lamp,2,lampshade,31,0.45714841070463325,25,0.8064516129032258,lampshade,lampshade
lamp,2,lightbulb,31,0.24158732494605076,7,0.22580645161290322,lightbulb,lightbulb
