category,model_correct_bin,roi_labelName,avg_emphasis,count_drawings_with_part,count_images_bin,prop_drawings
camel,2,tail,0.10445147030623321,10,24,0.4166666666666667
camel,3,eye,0.028480818358229125,11,22,0.5
camel,3,hump,0.17724759406479193,12,22,0.5454545454545454
camel,3,leg,0.20974690065258828,19,22,0.8636363636363636
camel,3,mouth,0.03854257118446452,9,22,0.4090909090909091
camel,3,tail,0.12385256241921624,7,22,0.3181818181818182
camel,4,eye,0.016638889756514737,10,23,0.43478260869565216
camel,4,hump,0.19811233567408024,15,23,0.6521739130434783
camel,4,leg,0.2855584646259696,19,23,0.8260869565217391
camel,4,mouth,0.02615943801737077,7,23,0.30434782608695654
camel,4,tail,0.11490566691057753,10,23,0.43478260869565216
car,1,hood,0.1372590804198454,6,17,0.35294117647058826
car,1,roof,0.1561398895007676,7,17,0.4117647058823529
car,1,trunk,0.15256595976458712,5,17,0.29411764705882354
car,1,wheel,0.4033494119313377,16,17,0.9411764705882353
car,1,window,0.17702236107025254,6,17,0.35294117647058826
car,2,hood,0.16403284724400818,6,18,0.3333333333333333
car,2,roof,0.13650633389822733,6,18,0.3333333333333333
car,2,trunk,0.13577511690955862,4,18,0.2222222222222222
car,2,wheel,0.3543519350178508,16,18,0.8888888888888888
car,2,window,0.14541731868658245,7,18,0.3888888888888889
car,3,hood,0.11331325151038626,5,15,0.3333333333333333
car,3,roof,0.146073528510776,7,15,0.4666666666666667
car,3,trunk,0.10825619981492769,6,15,0.4
car,3,wheel,0.29830274248031236,14,15,0.9333333333333333
car,3,window,0.1480390029687578,11,15,0.7333333333333333
car,4,hood,0.1694510638252371,6,16,0.375
car,4,roof,0.19653074651920568,10,16,0.625
car,4,trunk,0.1536076428289839,5,16,0.3125
car,4,wheel,0.3324655063780324,15,16,0.9375
car,4,window,0.1825360352471802,5,16,0.3125
cup,1,base,0.08626852039336463,1,20,0.05
cup,1,handle,0.17856798628181206,13,20,0.65
cup,1,hole,0.03815340011006148,1,20,0.05
cup,1,rim,0.19834201588433129,6,20,0.3
cup,2,base,0.25,1,18,0.05555555555555555
cup,2,handle,0.32639227778532076,13,18,0.7222222222222222
cup,2,hole,0.375,2,18,0.1111111111111111
cup,2,rim,0.2779398903156969,7,18,0.3888888888888889
cup,3,base,0.21879164476557186,3,14,0.21428571428571427
cup,3,handle,0.24691613004863755,11,14,0.7857142857142857
cup,3,rim,0.2712336781404048,9,14,0.6428571428571429
cup,4,base,0.17908475378510164,2,16,0.125
cup,4,handle,0.2852204270478293,12,16,0.75
cup,4,hole,0.2132639318181083,1,16,0.0625
cup,4,rim,0.25065159493774897,7,16,0.4375
dog,1,ear,0.25152751672250895,11,18,0.6111111111111112
dog,1,eye,0.058292918117965706,13,18,0.7222222222222222
dog,1,leg,0.28198527712106447,11,18,0.6111111111111112
dog,1,mouth,0.04838800723720683,13,18,0.7222222222222222
dog,1,tail,0.10363151210308827,6,18,0.3333333333333333
dog,2,ear,0.15691208929728398,5,17,0.29411764705882354
dog,2,eye,0.07350601186564461,14,17,0.8235294117647058
dog,2,leg,0.2164413039855111,11,17,0.6470588235294118
dog,2,mouth,0.07309069079444463,11,17,0.6470588235294118
dog,2,tail,0.16938541459085094,8,17,0.47058823529411764
dog,3,ear,0.16462360350465113,9,17,0.5294117647058824
dog,3,eye,0.11094071707808612,13,17,0.7647058823529411
dog,3,leg,0.18574744448454092,13,17,0.7647058823529411
dog,3,mouth,0.04722916804317483,11,17,0.6470588235294118
dog,3,tail,0.10810013724789415,10,17,0.5882352941176471
dog,4,ear,0.21468110321609896,7,15,0.4666666666666667
dog,4,eye,0.044909879108330206,12,15,0.8
dog,4,leg,0.19413675650366047,13,15,0.8666666666666667
dog,4,mouth,0.0557796316654688,9,15,0.6
dog,4,tail,0.08065789374689127,12,15,0.8
fish,1,eye,0.13024182225475606,10,14,0.7142857142857143
fish,1,fin,0.24362281890463752,7,14,0.5
fish,1,gill,0.07063183181659127,1,14,0.07142857142857142
fish,1,mouth,0.05835188906636223,7,14,0.5
fish,1,tail,0.17487737000981515,9,14,0.6428571428571429
fish,2,eye,0.13508867275892325,12,16,0.75
fish,2,fin,0.1694219667766073,5,16,0.3125
fish,2,gill,0.3082195521751111,4,16,0.25
fish,2,mouth,0.07659001519995506,5,16,0.3125
fish,2,tail,0.23848323814596695,9,16,0.5625
fish,3,eye,0.04841864230266928,13,13,1
fish,3,fin,0.10533896296755235,3,13,0.23076923076923078
fish,3,gill,0.10568827165982547,2,13,0.15384615384615385
fish,3,mouth,0.07993354572225661,8,13,0.6153846153846154
fish,3,tail,0.2066487452523547,8,13,0.6153846153846154
fish,4,eye,0.08359885525197586,12,13,0.9230769230769231
fish,4,fin,0.25278316166669695,3,13,0.23076923076923078
fish,4,gill,0.11243260919548315,1,13,0.07692307692307693
fish,4,mouth,0.044598976889926645,7,13,0.5384615384615384
fish,4,tail,0.23819009143013511,8,13,0.6153846153846154
hat,1,band,0.3653803621614859,4,13,0.3076923076923077
hat,1,brim,0.41260354524737475,9,13,0.6923076923076923
hat,1,crown,0.4403866011251468,1,13,0.07692307692307693
hat,1,top,0.3686663079693717,10,13,0.7692307692307693
hat,1,visor,0.28072206788271287,1,13,0.07692307692307693
hat,2,band,0.20388291748135887,4,11,0.36363636363636365
hat,2,brim,0.36495988785634387,7,11,0.6363636363636364
hat,2,crown,0.3724257166144926,4,11,0.36363636363636365
hat,2,top,0.41415812752899056,7,11,0.6363636363636364
hat,2,visor,0.26655651316968815,3,11,0.2727272727272727
hat,3,band,0.20222133540320714,3,11,0.2727272727272727
hat,3,brim,0.3456383951862081,10,11,0.9090909090909091
hat,3,crown,0.27314548827891205,3,11,0.2727272727272727
hat,3,top,0.46573244478815057,8,11,0.7272727272727273
hat,3,visor,0.13971453713321297,1,11,0.09090909090909091
hat,4,band,0.29747470440626106,5,11,0.45454545454545453
hat,4,brim,0.2830755295384845,8,11,0.7272727272727273
hat,4,crown,0.20555292714525397,4,11,0.36363636363636365
hat,4,top,0.3626738310813837,7,11,0.6363636363636364
hat,4,visor,1,1,11,0.09090909090909091
lamp,1,base,0.3197842498217796,6,18,0.3333333333333333
lamp,1,cord,0.07698982972728104,4,18,0.2222222222222222
lamp,1,lampshade,0.4428226765818455,14,18,0.7777777777777778
lamp,1,lightbulb,0.2353972282441552,10,18,0.5555555555555556
lamp,1,stand,0.3433228654891034,6,18,0.3333333333333333
lamp,2,base,0.28939322174380394,7,20,0.35
lamp,2,cord,0.3459022459639859,2,20,0.1
lamp,2,lampshade,0.48589708328602366,14,20,0.7
lamp,2,lightbulb,0.23310923174141132,9,20,0.45
lamp,2,stand,0.21668985909059085,7,20,0.35
lamp,3,base,0.28768070138218904,9,20,0.45
lamp,3,cord,0.020585933782388818,1,20,0.05
lamp,3,lampshade,0.5369700987793026,20,20,1
lamp,3,lightbulb,0.14780668733092206,3,20,0.15
lamp,3,stand,0.2289694781607252,7,20,0.35
lamp,4,base,0.26613586355751473,9,16,0.5625
lamp,4,cord,0.040176743342843525,1,16,0.0625
lamp,4,lampshade,0.4387423032256254,15,16,0.9375
lamp,4,lightbulb,0.1465102963197069,5,16,0.3125
lamp,4,stand,0.2817062000807407,5,16,0.3125
rabbit,1,ear,0.30379103199126584,31,41,0.7560975609756098
rabbit,1,eye,0.08472703928991109,25,41,0.6097560975609756
rabbit,1,leg,0.16192228280806903,20,41,0.4878048780487805
rabbit,1,mouth,0.07116483778255057,11,41,0.2682926829268293
rabbit,1,nose,0.06954622093472357,6,41,0.14634146341463414
rabbit,2,ear,0.2881209136003765,30,34,0.8823529411764706
rabbit,2,eye,0.08702940692302848,25,34,0.7352941176470589
rabbit,2,leg,0.1775367170054361,11,34,0.3235294117647059
rabbit,2,mouth,0.0604432642864731,18,34,0.5294117647058824
rabbit,2,nose,0.04591384853051907,15,34,0.4411764705882353
rabbit,3,ear,0.314463456979846,29,31,0.9354838709677419
rabbit,3,eye,0.0848291840805781,25,31,0.8064516129032258
rabbit,3,leg,0.12057349086216632,14,31,0.45161290322580644
rabbit,3,mouth,0.05074242319860545,22,31,0.7096774193548387
rabbit,3,nose,0.04075278396442962,11,31,0.3548387096774194
rabbit,4,ear,0.2863543536688129,28,28,1
rabbit,4,eye,0.0962332959402042,27,28,0.9642857142857143
rabbit,4,leg,0.14155089348318026,12,28,0.42857142857142855
rabbit,4,mouth,0.05253303466916822,21,28,0.75
rabbit,4,nose,0.03246229752155273,12,28,0.42857142857142855
sheep,1,ear,0.10421177835195139,3,14,0.21428571428571427
sheep,1,eye,0.037408469109470925,10,14,0.7142857142857143
sheep,1,leg,0.23517789192413532,10,14,0.7142857142857143
sheep,1,mouth,0.04236051825964844,2,14,0.14285714285714285
sheep,1,wool,0.4438429041835973,2,14,0.14285714285714285
sheep,2,ear,0.09956991960115484,7,12,0.5833333333333334
sheep,2,eye,0.039206974396208794,8,12,0.6666666666666666
sheep,2,leg,0.1195746882958818,10,12,0.8333333333333334
sheep,2,mouth,0.02202330559783946,5,12,0.4166666666666667
sheep,2,wool,0.41605238543181877,6,12,0.5
sheep,3,ear,0.12064951395477236,4,11,0.36363636363636365
sheep,3,eye,0.03598033846147951,8,11,0.7272727272727273
sheep,3,leg,0.1723596006445982,8,11,0.7272727272727273
sheep,3,mouth,0.027667167708836635,8,11,0.7272727272727273
sheep,3,wool,0.46799658043850795,4,11,0.36363636363636365
sheep,4,ear,0.08595746783693661,6,11,0.5454545454545454
sheep,4,eye,0.02560465406179314,10,11,0.9090909090909091
sheep,4,leg,0.18708241669976325,9,11,0.8181818181818182
sheep,4,mouth,0.02004560971082704,7,11,0.6363636363636364
sheep,4,wool,0.3435123148795228,2,11,0.18181818181818182
tiger,1,ear,0.13402511453633192,12,22,0.5454545454545454
tiger,1,eye,0.07018344680388655,17,22,0.7727272727272727
tiger,1,leg,0.2110471690470173,14,22,0.6363636363636364
tiger,1,mouth,0.0617313082843168,10,22,0.45454545454545453
